elements,activities,events,startEvents,endEvents,gateways,lanesAndPools,sequenceFlows,fileName,
0,0,0,1,0,1,0,0,1050726999.meta.json,
0,0,0,0,0,1,0,0,1050881507.meta.json,
0,1,1,1,1,1,1,1,1050959562.meta.json,
1,1,1,1,1,1,1,1,1050985114.meta.json,
0,1,1,1,1,1,0,1,1051312831.meta.json,
1,1,1,0,0,1,1,1,1051424936.meta.json,
1,1,1,1,0,1,1,1,1051436249.meta.json,
1,1,1,1,1,1,1,1,1051603367.meta.json,
1,1,1,1,1,1,1,1,1051720002.meta.json,
1,1,0,0,0,1,1,1,1051883408.meta.json,
1,1,1,1,1,1,1,1,1052097377.meta.json,
0,1,0,1,0,1,1,0,1052139619.meta.json,
1,1,1,1,1,1,1,1,1052140550.meta.json,
1,1,1,1,1,1,1,1,1052257765.meta.json,
0,1,0,0,0,1,0,1,1052297546.meta.json,
0,1,0,0,0,1,1,1,1052331125.meta.json,
1,1,1,1,1,1,1,1,1052409729.meta.json,
0,1,1,0,0,1,0,1,1052559053.meta.json,
1,1,1,1,1,1,0,1,1052688826.meta.json,
0,1,0,0,0,1,0,0,1052982385.meta.json,
1,1,1,1,1,1,1,1,1053091321.meta.json,
1,1,1,1,1,1,1,1,1053202940.meta.json,
1,1,1,1,0,1,1,1,1053233996.meta.json,
1,1,1,1,1,1,0,1,1053339331.meta.json,
0,1,0,0,0,1,0,0,1053391038.meta.json,
1,1,1,1,1,1,1,1,1053468899.meta.json,
1,1,1,1,0,1,1,1,1053476642.meta.json,
1,1,1,0,0,1,0,1,1053582611.meta.json,
1,1,1,1,1,1,1,1,1053702714.meta.json,
1,1,1,1,1,1,1,1,1053866105.meta.json,
1,1,1,0,0,1,1,1,1053866183.meta.json,
0,1,0,0,0,1,0,0,1053873831.meta.json,
0,0,0,0,0,1,0,0,1054044613.meta.json,
1,1,1,1,0,1,1,1,1054201138.meta.json,
1,1,1,1,1,1,1,1,1054258706.meta.json,
